Overseas Plants,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total
Tucson (NX4v),174,153,325,458,535,380,439,500,248,904,1182,634,5932
Santa Fe (TMv),57,394,448,349,840,615,416,593,13,2,,,3727
Santa Fe HEV (TMv HEV),30,,5,30,,,,,90,24,1,,180
Palisade (LX2v),186,208,96,120,270,93,91,51,150,284,76,74,1699
Kusto (KUv),422,207,89,152,410,147,121,126,411,246,88,7,2426
IONIQ5 (NEv),30,,,,,29,,,1,,,,60
Porter (HRv),268,181,297,70,447,193,339,,342,268,62,291,2758
Mighty (LTv),157,113,150,240,90,153,71,198,93,119,210,1,1595
Mighty (VTv),180,12,168,266,154,240,153,156,278,228,,66,1901
Mighty (QTv),30,30,,,30,60,,90,,61,,,301
Mighty (QTc),,,30,21,39,30,,28,2,,,,150
Santa Fe (MX5v),,,,,,,,,584,630,1053,418,2685
Mighty (LTv),60,30,,60,60,,,30,60,20,10,60,390
Sub-total,60,30,,60,60,,,30,60,20,10,60,390
Truck,222,129,160,197,324,254,158,323,135,344,278,90,2614
IONIQ5 (NE),,,,,,,,,,,,,
IONIQ6 (CE),,,,,,,,1,12,5,7,12,37
IONIQ5 (NE),20,49,82,74,46,38,52,40,18,21,10,9,459
IONIQ5 Robotaxi (NE R),,24,,,3,,13,6,,,1,,47
PV,5080,4010,4905,4945,5116,4534,5125,4443,5375,5567,5644,5348,60092
CV,30,20,25,34,44,25,50,101,97,40,9,,475
